# PROCESSED SYNTHETIC DATASET -- ALS baseline corrected + Savitzky-Golay smoothed
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
wavenumber_cm-1,absorbance_raw,baseline,absorbance_baseline_corrected,absorbance_smoothed,transmittance_raw_percent
4000.0,0.041276,0.007592,0.033684,0.033874,90.9335
3999.0,0.041356,0.007899,0.033457,0.033757,90.9168
3998.0,0.043528,0.008207,0.035321,0.033627,90.4632
3997.0,0.040799,0.008514,0.032285,0.033504,91.0335
3996.0,0.041748,0.008821,0.032927,0.033408,90.8347
3995.0,0.042847,0.009129,0.033718,0.03336,90.6053
3994.0,0.043141,0.009436,0.033705,0.033653,90.5438
3993.0,0.043752,0.009743,0.034009,0.033514,90.4165
3992.0,0.041356,0.010051,0.031305,0.034092,90.9167
3991.0,0.046961,0.010358,0.036603,0.033851,89.751
3990.0,0.044284,0.010665,0.033619,0.032845,90.3058
3989.0,0.04238,0.010973,0.031407,0.032172,90.7027
3988.0,0.044388,0.01128,0.033108,0.031688,90.2843
3987.0,0.040337,0.011587,0.02875,0.03102,91.1304
3986.0,0.040209,0.011895,0.028314,0.030326,91.1571
3985.0,0.044551,0.012202,0.032349,0.030157,90.2503
3984.0,0.043484,0.012509,0.030975,0.029939,90.4723
3983.0,0.041955,0.012817,0.029138,0.0299,90.7915
3982.0,0.044143,0.013124,0.031019,0.030149,90.3351
3981.0,0.040989,0.013431,0.027558,0.029702,90.9936
3980.0,0.043129,0.013739,0.02939,0.028584,90.5464
3979.0,0.044082,0.014046,0.030036,0.02812,90.3479
3978.0,0.041667,0.014353,0.027314,0.02795,90.8518
3977.0,0.041469,0.014661,0.026808,0.02778,90.8932
3976.0,0.041231,0.014968,0.026263,0.028076,90.9429
3975.0,0.043841,0.015276,0.028565,0.027793,90.3981
3974.0,0.044717,0.015583,0.029134,0.027535,90.2159
3973.0,0.044146,0.01589,0.028256,0.027154,90.3345
3972.0,0.043228,0.016198,0.02703,0.02724,90.5258
3971.0,0.042054,0.016505,0.025549,0.02697,90.7708
3970.0,0.041958,0.016812,0.025146,0.026406,90.7908
3969.0,0.042817,0.01712,0.025697,0.026386,90.6115
3968.0,0.047118,0.017427,0.029691,0.02638,89.7185
3967.0,0.043036,0.017734,0.025302,0.026393,90.5657
3966.0,0.044071,0.018042,0.026029,0.026316,90.3502
3965.0,0.044825,0.018349,0.026476,0.025469,90.1935
3964.0,0.042569,0.018656,0.023913,0.024852,90.6631
3963.0,0.043158,0.018964,0.024194,0.023854,90.5403
3962.0,0.042681,0.019271,0.02341,0.023612,90.6398
3961.0,0.041455,0.019578,0.021877,0.023311,90.8961
3960.0,0.044885,0.019886,0.024999,0.02298,90.181
3959.0,0.041779,0.020193,0.021586,0.022978,90.8283
3958.0,0.043547,0.020501,0.023046,0.022468,90.4592
3957.0,0.044265,0.020808,0.023457,0.022262,90.3099
3956.0,0.041952,0.021115,0.020837,0.021737,90.792
3955.0,0.042781,0.021423,0.021358,0.02113,90.619
3954.0,0.04182,0.02173,0.02009,0.021449,90.8198
