# PROCESSED SYNTHETIC DATASET -- Savitzky-Golay smoothed mass and DTG derivative
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
temperature_C,mass_percent_raw,mass_percent_smoothed,dtg_percent_per_C
25.0,99.7936,99.795,0.003229
25.5,99.7868,99.7906,0.003707
26.0,99.7875,99.7862,0.004181
26.5,99.7836,99.7816,0.004651
27.0,99.7795,99.777,0.005116
27.5,99.7696,99.7723,0.005578
28.0,99.7691,99.7674,0.006035
28.5,99.7647,99.7625,0.006488
29.0,99.7554,99.7575,0.006937
29.5,99.7465,99.7523,0.007382
30.0,99.7548,99.7471,0.007822
30.5,99.7407,99.7417,0.008259
31.0,99.737,99.7363,0.008691
31.5,99.7393,99.7307,0.009119
32.0,99.725,99.725,0.009543
32.5,99.7168,99.7192,0.009963
33.0,99.7121,99.7133,0.010379
33.5,99.7112,99.7073,0.01079
34.0,99.6983,99.7011,0.011197
34.5,99.6896,99.6949,0.0116
35.0,99.6862,99.6885,0.012
35.5,99.6847,99.682,0.012394
36.0,99.6691,99.6754,0.012785
36.5,99.6628,99.6687,0.013172
37.0,99.6614,99.6618,0.013554
37.5,99.6578,99.6549,0.013932
38.0,99.6487,99.6477,0.014306
38.5,99.6383,99.6405,0.014676
39.0,99.6329,99.6329,0.015042
39.5,99.6265,99.6256,0.015403
40.0,99.6246,99.6179,0.015761
40.5,99.6212,99.6099,0.016114
41.0,99.6025,99.6018,0.016463
41.5,99.5905,99.5938,0.016808
42.0,99.5853,99.5856,0.017149
42.5,99.5781,99.5771,0.017486
43.0,99.5644,99.569,0.017818
43.5,99.5573,99.5607,0.018146
44.0,99.5492,99.5521,0.018471
44.5,99.5448,99.5436,0.018791
45.0,99.5354,99.5348,0.019106
45.5,99.5263,99.5258,0.019418
46.0,99.5216,99.5166,0.019726
46.5,99.5127,99.5076,0.020029
47.0,99.498,99.4983,0.020328
47.5,99.4847,99.4888,0.020623
48.0,99.4728,99.479,0.020914
48.5,99.4705,99.4693,0.021201
49.0,99.4568,99.4592,0.021483
49.5,99.4471,99.4492,0.021762
50.0,99.4365,99.4388,0.022036
50.5,99.4252,99.4283,0.022306
51.0,99.4105,99.4175,0.022572
51.5,99.4152,99.4066,0.022834
52.0,99.3892,99.3957,0.023091
52.5,99.3855,99.3845,0.023345
53.0,99.3778,99.3736,0.023594
53.5,99.3715,99.3628,0.023839
54.0,99.3578,99.3514,0.02408
54.5,99.3403,99.3394,0.024317
55.0,99.3314,99.3276,0.02455
55.5,99.3163,99.3156,0.024778
56.0,99.3003,99.3032,0.025003
56.5,99.2906,99.2908,0.025223
57.0,99.2831,99.2782,0.025439
57.5,99.2667,99.2659,0.025651
58.0,99.2545,99.2532,0.025859
58.5,99.2444,99.2404,0.026062
59.0,99.2264,99.2278,0.026261
59.5,99.211,99.2149,0.026457
60.0,99.1955,99.2017,0.026648
60.5,99.1916,99.1883,0.026835
61.0,99.1717,99.1746,0.027017
61.5,99.159,99.1609,0.027196
62.0,99.1348,99.147,0.02737
62.5,99.1314,99.133,0.027541
63.0,99.1228,99.1189,0.027747
63.5,99.1111,99.1045,0.027959
64.0,99.0919,99.0902,0.028169
64.5,99.0744,99.076,0.028376
65.0,99.0653,99.0614,0.02857
65.5,99.043,99.0465,0.028757
66.0,99.0254,99.0319,0.028945
66.5,99.0161,99.0173,0.02912
67.0,99.0103,99.0027,0.029288
67.5,98.9882,98.9879,0.029448
68.0,98.9769,98.9731,0.029608
68.5,98.9653,98.9582,0.029759
69.0,98.9441,98.9429,0.029908
69.5,98.9347,98.9278,0.030068
70.0,98.9072,98.9128,0.030199
70.5,98.8987,98.8976,0.030309
71.0,98.8793,98.882,0.030429
71.5,98.8591,98.8665,0.030542
72.0,98.85,98.8511,0.03065
72.5,98.8359,98.8357,0.030731
73.0,98.8163,98.8201,0.030814
73.5,98.8053,98.805,0.0309
74.0,98.7903,98.7896,0.030968
74.5,98.7753,98.7739,0.031031
75.0,98.7589,98.7581,0.031085
75.5,98.7412,98.7424,0.031134
76.0,98.7304,98.7267,0.031181
76.5,98.7031,98.7112,0.031204
77.0,98.6939,98.6954,0.03123
77.5,98.6767,98.6795,0.031251
78.0,98.6696,98.6637,0.031273
78.5,98.6483,98.6476,0.031296
79.0,98.6354,98.6317,0.0313
79.5,98.6169,98.6157,0.031289
80.0,98.5962,98.6,0.031263
80.5,98.5854,98.5841,0.031251
81.0,98.5672,98.5686,0.031207
81.5,98.5555,98.553,0.031156
82.0,98.5367,98.5373,0.031098
82.5,98.5194,98.522,0.031041
83.0,98.5044,98.5063,0.030972
83.5,98.5017,98.4907,0.030904
84.0,98.4841,98.4753,0.030839
84.5,98.463,98.4597,0.030752
85.0,98.4431,98.4442,0.030661
85.5,98.4288,98.4287,0.030547
86.0,98.4049,98.4134,0.030434
86.5,98.39,98.3978,0.030322
87.0,98.3861,98.3824,0.030196
87.5,98.3584,98.3671,0.03006
88.0,98.3483,98.3521,0.029915
88.5,98.3367,98.3368,0.029768
