# PROCESSED SYNTHETIC DATASET -- smoothed, turbidity-corrected, photometric flags
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
wavelength_nm,photon_energy_eV,absorbance_raw,absorbance_smoothed,scattering_baseline,absorbance_scatter_corrected,photometrically_unreliable
200.0,6.19921,3.59078,3.59072,2.77583,0.81489,True
201.0,6.16837,3.57772,3.57516,2.74804,0.82712,True
202.0,6.13783,3.55556,3.56027,2.72067,0.8396,True
203.0,6.1076,3.54603,3.54597,2.6937,0.85226,True
204.0,6.07766,3.53415,3.5322,2.66714,0.86507,True
205.0,6.04801,3.51994,3.51892,2.64096,0.87796,True
206.0,6.01865,3.50499,3.50605,2.61516,0.89088,True
207.0,5.98957,3.49362,3.49353,2.58974,0.90378,True
208.0,5.96078,3.4816,3.48147,2.56469,0.91678,True
209.0,5.93226,3.4689,3.46961,2.54,0.92961,True
210.0,5.90401,3.45889,3.45716,2.51566,0.9415,True
211.0,5.87603,3.44552,3.4449,2.49167,0.95323,True
212.0,5.84831,3.43094,3.43352,2.46802,0.9655,True
213.0,5.82085,3.42463,3.42206,2.44471,0.97735,True
214.0,5.79365,3.41043,3.41026,2.42172,0.98854,True
215.0,5.76671,3.39634,3.39855,2.39905,0.99949,True
216.0,5.74001,3.38782,3.38743,2.3767,1.01072,True
217.0,5.71356,3.37595,3.37634,2.35466,1.02168,True
218.0,5.68735,3.36836,3.36535,2.33293,1.03243,True
219.0,5.66138,3.35246,3.35469,2.31149,1.0432,True
220.0,5.63565,3.34237,3.3436,2.29035,1.05325,True
221.0,5.61014,3.33373,3.33298,2.26949,1.06349,True
222.0,5.58487,3.32552,3.32272,2.24892,1.07381,True
223.0,5.55983,3.31146,3.31241,2.22862,1.08378,True
224.0,5.53501,3.30076,3.30243,2.2086,1.09383,True
225.0,5.51041,3.29347,3.29264,2.18884,1.1038,True
226.0,5.48603,3.28093,3.28357,2.16935,1.11422,True
227.0,5.46186,3.27307,3.27403,2.15012,1.12391,True
228.0,5.4379,3.26709,3.26443,2.13114,1.13329,True
229.0,5.41416,3.25557,3.25451,2.11241,1.1421,True
230.0,5.39062,3.24557,3.24511,2.09393,1.15118,True
231.0,5.36728,3.23684,3.23542,2.07568,1.15974,True
232.0,5.34415,3.22649,3.22585,2.05768,1.16818,True
233.0,5.32121,3.21493,3.21624,2.0399,1.17634,True
234.0,5.29847,3.205,3.2072,2.02236,1.18485,True
235.0,5.27592,3.19472,3.19784,2.00504,1.1928,True
236.0,5.25357,3.1905,3.18913,1.98794,1.20119,True
237.0,5.2314,3.18111,3.18027,1.97105,1.20921,True
238.0,5.20942,3.17326,3.17182,1.95438,1.21744,True
239.0,5.18762,3.16287,3.16345,1.93792,1.22553,True
240.0,5.16601,3.15885,3.15434,1.92167,1.23267,True
241.0,5.14457,3.14235,3.14578,1.90562,1.24016,True
242.0,5.12331,3.13741,3.1372,1.88977,1.24742,True
243.0,5.10223,3.12749,3.12842,1.87412,1.2543,True
244.0,5.08132,3.12067,3.11971,1.85866,1.26105,True
245.0,5.06058,3.10846,3.11125,1.84339,1.26786,True
246.0,5.04001,3.09971,3.10253,1.82831,1.27422,True
247.0,5.0196,3.1003,3.09408,1.81341,1.28067,True
248.0,4.99936,3.08688,3.08604,1.79869,1.28735,True
249.0,4.97929,3.07726,3.07789,1.78415,1.29374,True
250.0,4.95937,3.06678,3.06962,1.76978,1.29984,True
251.0,4.93961,3.06126,3.06072,1.75559,1.30513,True
252.0,4.92001,3.04982,3.05163,1.74156,1.31006,True
253.0,4.90056,3.04569,3.04228,1.72771,1.31457,True
254.0,4.88127,3.03387,3.03281,1.71401,1.31879,True
255.0,4.86213,3.02768,3.02431,1.70048,1.32383,True
256.0,4.84313,3.01142,3.01564,1.68711,1.32853,True
257.0,4.82429,3.00318,3.00723,1.6739,1.33333,True
258.0,4.80559,2.99708,2.99828,1.66084,1.33745,True
259.0,4.78703,2.99203,2.98971,1.64793,1.34178,True
260.0,4.76862,2.98248,2.98055,1.63517,1.34539,True
261.0,4.75035,2.97299,2.97237,1.62256,1.34981,True
262.0,4.73222,2.96504,2.96375,1.61009,1.35366,True
263.0,4.71423,2.95618,2.95571,1.59776,1.35794,True
264.0,4.69637,2.94397,2.94688,1.58558,1.3613,True
265.0,4.67865,2.93726,2.93798,1.57353,1.36444,True
266.0,4.66106,2.92768,2.92894,1.56162,1.36732,True
267.0,4.6436,2.92245,2.9201,1.54985,1.37025,True
268.0,4.62628,2.91001,2.91111,1.53821,1.37291,True
269.0,4.60908,2.90383,2.90215,1.52669,1.37545,True
270.0,4.59201,2.89367,2.893,1.51531,1.37769,True
271.0,4.57506,2.88455,2.88403,1.50405,1.37997,True
272.0,4.55824,2.87302,2.87456,1.49292,1.38164,True
273.0,4.54155,2.86405,2.8647,1.48191,1.38279,True
274.0,4.52497,2.85514,2.85509,1.47102,1.38407,True
275.0,4.50852,2.84641,2.84595,1.46025,1.3857,True
276.0,4.49218,2.83521,2.83617,1.4496,1.38656,True
277.0,4.47596,2.82765,2.82628,1.43906,1.38722,True
278.0,4.45986,2.81617,2.81661,1.42864,1.38797,True
279.0,4.44388,2.80567,2.80714,1.41833,1.38881,True
280.0,4.42801,2.80073,2.79735,1.40813,1.38922,True
281.0,4.41225,2.78705,2.78719,1.39804,1.38914,True
282.0,4.3966,2.77468,2.77713,1.38806,1.38906,True
283.0,4.38107,2.76589,2.76739,1.37819,1.3892,True
284.0,4.36564,2.75974,2.75731,1.36842,1.38889,True
285.0,4.35032,2.74796,2.74764,1.35875,1.38889,True
286.0,4.33511,2.73597,2.73734,1.34918,1.38815,True
287.0,4.32001,2.72542,2.72645,1.33972,1.38673,True
288.0,4.30501,2.71829,2.71639,1.33035,1.38603,True
289.0,4.29011,2.70776,2.70605,1.32108,1.38497,True
290.0,4.27532,2.69465,2.69515,1.31191,1.38324,True
291.0,4.26063,2.68463,2.68404,1.30283,1.38121,True
292.0,4.24603,2.66998,2.67335,1.29385,1.3795,True
293.0,4.23154,2.66121,2.66245,1.28496,1.37749,True
294.0,4.21715,2.65416,2.65121,1.27616,1.37505,True
295.0,4.20285,2.64051,2.63999,1.26745,1.37255,True
296.0,4.18866,2.62793,2.62861,1.25882,1.36979,True
297.0,4.17455,2.61743,2.61735,1.25029,1.36706,True
298.0,4.16054,2.60674,2.6062,1.24184,1.36436,True
299.0,4.14663,2.59418,2.59463,1.23348,1.36115,True
300.0,4.13281,2.58284,2.5829,1.2252,1.3577,True
301.0,4.11908,2.57167,2.57104,1.217,1.35404,True
302.0,4.10544,2.55699,2.55949,1.20889,1.3506,True
303.0,4.09189,2.54907,2.54797,1.20085,1.34712,True
304.0,4.07843,2.53771,2.53619,1.1929,1.34329,True
305.0,4.06506,2.52205,2.52413,1.18502,1.33911,True
306.0,4.05177,2.51465,2.5122,1.17722,1.33498,True
307.0,4.03857,2.49933,2.50021,1.1695,1.33071,False
308.0,4.02546,2.48823,2.48854,1.16186,1.32668,False
309.0,4.01243,2.47739,2.47655,1.15428,1.32226,False
310.0,3.99949,2.46294,2.46415,1.14679,1.31736,False
311.0,3.98663,2.4506,2.45216,1.13936,1.3128,False
312.0,3.97385,2.44119,2.44031,1.13201,1.30831,False
313.0,3.96116,2.42924,2.42801,1.12472,1.30329,False
314.0,3.94854,2.41717,2.41579,1.11751,1.29828,False
315.0,3.93601,2.40128,2.40352,1.11037,1.29315,False
316.0,3.92355,2.39168,2.39104,1.10329,1.28775,False
317.0,3.91117,2.37964,2.3791,1.09628,1.28281,False
318.0,3.89887,2.36623,2.36631,1.08934,1.27697,False
319.0,3.88665,2.35303,2.35354,1.08246,1.27108,False
320.0,3.87451,2.33977,2.34094,1.07565,1.26529,False
321.0,3.86244,2.33056,2.32849,1.0689,1.25959,False
322.0,3.85044,2.31558,2.31609,1.06222,1.25387,False
323.0,3.83852,2.30522,2.30368,1.05559,1.24809,False
324.0,3.82667,2.28799,2.29198,1.04903,1.24294,False
325.0,3.8149,2.28018,2.28074,1.04253,1.2382,False
326.0,3.8032,2.2666,2.26932,1.03609,1.23323,False
327.0,3.79157,2.25515,2.25685,1.02971,1.22714,False
328.0,3.78001,2.24292,2.24293,1.02339,1.21954,False
329.0,3.76852,2.2323,2.22797,1.01712,1.21085,False
330.0,3.7571,2.21703,2.21126,1.01092,1.20035,False
331.0,3.74575,2.19765,2.19295,1.00477,1.18819,False
332.0,3.73446,2.17387,2.17273,0.99867,1.17406,False
333.0,3.72325,2.14838,2.15155,0.99263,1.15892,False
334.0,3.7121,2.12634,2.12944,0.98664,1.1428,False
335.0,3.70102,2.10506,2.10687,0.98071,1.12616,False
336.0,3.69001,2.08246,2.084,0.97483,1.10916,False
337.0,3.67906,2.06014,2.06153,0.96901,1.09252,False
338.0,3.66817,2.04157,2.03996,0.96323,1.07672,False
339.0,3.65735,2.01988,2.0192,0.95751,1.06168,False
340.0,3.64659,2.00013,1.99906,0.95184,1.04722,False
341.0,3.6359,1.97794,1.97855,0.94622,1.03233,False
342.0,3.62527,1.95615,1.9581,0.94065,1.01746,False
343.0,3.6147,1.9368,1.93791,0.93512,1.00279,False
344.0,3.60419,1.91947,1.91769,0.92965,0.98804,False
345.0,3.59374,1.89927,1.89714,0.92422,0.97292,False
346.0,3.58336,1.87893,1.87755,0.91884,0.95871,False
347.0,3.57303,1.85516,1.85752,0.91351,0.94401,False
348.0,3.56276,1.83748,1.8379,0.90822,0.92968,False
349.0,3.55256,1.8186,1.81862,0.90298,0.91565,False
350.0,3.54241,1.7986,1.79922,0.89778,0.90144,False
351.0,3.53231,1.77969,1.78026,0.89263,0.88763,False
352.0,3.52228,1.7645,1.76197,0.88752,0.87445,False
353.0,3.5123,1.7401,1.74369,0.88246,0.86123,False
354.0,3.50238,1.72694,1.72583,0.87744,0.84839,False
355.0,3.49251,1.70944,1.70787,0.87246,0.83541,False
356.0,3.4827,1.68957,1.69006,0.86752,0.82254,False
357.0,3.47295,1.67375,1.67254,0.86263,0.80991,False
358.0,3.46325,1.65456,1.6548,0.85778,0.79703,False
359.0,3.4536,1.63544,1.63739,0.85296,0.78443,False
360.0,3.44401,1.6213,1.62044,0.84819,0.77225,False
361.0,3.43447,1.60356,1.60287,0.84346,0.75942,False
362.0,3.42498,1.58538,1.58578,0.83876,0.74702,False
363.0,3.41554,1.56961,1.56923,0.83411,0.73512,False
364.0,3.40616,1.55203,1.55267,0.8295,0.72318,False
365.0,3.39683,1.53817,1.53683,0.82492,0.71191,False
366.0,3.38755,1.51975,1.52121,0.82038,0.70083,False
367.0,3.37832,1.50434,1.50533,0.81587,0.68946,False
368.0,3.36914,1.48968,1.49034,0.81141,0.67893,False
369.0,3.36001,1.4764,1.47532,0.80698,0.66834,False
370.0,3.35092,1.46036,1.4602,0.80259,0.65761,False
371.0,3.34189,1.44704,1.44547,0.79823,0.64724,False
372.0,3.33291,1.43065,1.43046,0.79391,0.63656,False
373.0,3.32397,1.41481,1.41592,0.78962,0.6263,False
374.0,3.31509,1.40303,1.4013,0.78537,0.61593,False
375.0,3.30625,1.38482,1.38662,0.78115,0.60548,False
376.0,3.29745,1.37172,1.37223,0.77696,0.59527,False
377.0,3.28871,1.35885,1.35809,0.77281,0.58528,False
378.0,3.28001,1.34298,1.34453,0.76869,0.57583,False
379.0,3.27135,1.3316,1.33078,0.76461,0.56617,False
380.0,3.26274,1.31751,1.31712,0.76056,0.55656,False
381.0,3.25418,1.30351,1.30369,0.75653,0.54715,False
382.0,3.24566,1.29159,1.29047,0.75254,0.53792,False
383.0,3.23719,1.27746,1.27719,0.74859,0.52861,False
384.0,3.22876,1.26593,1.26433,0.74466,0.51967,False
385.0,3.22037,1.24748,1.25193,0.74076,0.51116,False
386.0,3.21203,1.23933,1.23887,0.7369,0.50197,False
387.0,3.20373,1.22737,1.22653,0.73306,0.49347,False
388.0,3.19547,1.21312,1.21421,0.72926,0.48495,False
389.0,3.18725,1.20414,1.20208,0.72548,0.4766,False
390.0,3.17908,1.1918,1.19044,0.72173,0.4687,False
391.0,3.17095,1.17827,1.1787,0.71801,0.46069,False
392.0,3.16286,1.16363,1.16736,0.71432,0.45304,False
393.0,3.15481,1.15752,1.15537,0.71066,0.4447,False
394.0,3.14681,1.14345,1.14377,0.70703,0.43674,False
395.0,3.13884,1.13369,1.13261,0.70342,0.42919,False
396.0,3.13091,1.12211,1.12136,0.69985,0.42151,False
397.0,3.12303,1.10914,1.11047,0.69629,0.41417,False
398.0,3.11518,1.09954,1.09969,0.69277,0.40692,False
399.0,3.10737,1.08817,1.08918,0.68927,0.39991,False
400.0,3.0996,1.07877,1.07817,0.6858,0.39237,False
