# PROCESSED SYNTHETIC DATASET -- ALS background subtracted, Savitzky-Golay smoothed
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
two_theta_deg,intensity_raw_counts,background_counts,intensity_bg_subtracted_counts,intensity_smoothed_counts
20.0,190.0,179.29,10.71,33.66
20.02,219.0,179.35,39.65,40.71
20.04,254.0,179.41,74.59,45.81
20.06,234.0,179.47,54.53,49.19
20.08,245.0,179.52,65.48,51.03
20.1,207.0,179.58,27.42,51.55
20.12,247.0,179.64,67.36,50.95
20.14,223.0,179.7,43.3,49.45
20.16,233.0,179.75,53.25,47.24
20.18,212.0,179.81,32.19,44.54
20.2,220.0,179.87,40.13,41.54
20.22,221.0,179.93,41.07,38.47
20.24,202.0,179.98,22.02,35.51
20.26,213.0,180.04,32.96,34.25
20.28,202.0,180.1,21.9,34.39
20.3,223.0,180.16,42.84,36.13
20.32,194.0,180.21,13.79,38.15
20.34,221.0,180.27,40.73,39.43
20.36,206.0,180.33,25.67,39.54
20.38,227.0,180.39,46.61,42.73
20.4,220.0,180.44,39.56,44.62
20.42,241.0,180.5,60.5,46.37
20.44,240.0,180.56,59.44,47.08
20.46,261.0,180.62,80.38,47.42
20.48,247.0,180.67,66.33,48.77
20.5,221.0,180.73,40.27,49.11
20.52,216.0,180.79,35.21,49.45
20.54,228.0,180.85,47.15,49.31
20.56,209.0,180.91,28.09,49.88
20.58,239.0,180.96,58.04,47.68
20.6,225.0,181.02,43.98,46.13
20.62,214.0,181.08,32.92,44.08
20.64,213.0,181.14,31.86,42.89
20.66,227.0,181.19,45.81,40.54
20.68,225.0,181.25,43.75,40.57
20.7,241.0,181.31,59.69,42.43
20.72,229.0,181.37,47.63,44.92
20.74,223.0,181.42,41.58,46.59
20.76,228.0,181.48,46.52,46.73
20.78,217.0,181.54,35.46,46.64
20.8,218.0,181.6,36.4,47.12
20.82,227.0,181.65,45.35,45.19
20.84,238.0,181.71,56.29,43.28
20.86,228.0,181.77,46.23,42.5
20.88,231.0,181.83,49.17,41.74
20.9,245.0,181.88,63.12,40.37
20.92,231.0,181.94,49.06,39.67
20.94,199.0,182.0,17.0,38.05
20.96,210.0,182.06,27.94,38.05
20.98,216.0,182.12,33.88,39.82
21.0,216.0,182.17,33.83,38.53
21.02,208.0,182.23,25.77,38.14
21.04,203.0,182.29,20.71,38.74
21.06,217.0,182.35,34.65,37.98
21.08,252.0,182.4,69.6,36.12
21.1,230.0,182.46,47.54,36.79
21.12,217.0,182.52,34.48,36.4
21.14,220.0,182.58,37.42,37.75
21.16,220.0,182.63,37.37,39.46
21.18,236.0,182.69,53.31,40.14
21.2,233.0,182.75,50.25,38.97
21.22,192.0,182.81,9.19,37.09
21.24,234.0,182.87,51.13,39.11
21.26,229.0,182.92,46.08,40.62
21.28,198.0,182.98,15.02,42.15
21.3,213.0,183.04,29.96,42.59
21.32,243.0,183.1,59.9,42.35
21.34,220.0,183.15,36.85,45.27
21.36,234.0,183.21,50.79,45.75
21.38,212.0,183.27,28.73,45.97
21.4,226.0,183.33,42.67,46.14
21.42,241.0,183.39,57.61,46.82
21.44,246.0,183.44,62.56,47.93
21.46,277.0,183.5,93.5,49.92
21.48,224.0,183.56,40.44,47.53
21.5,229.0,183.62,45.38,47.14
21.52,213.0,183.67,29.33,47.47
21.54,212.0,183.73,28.27,44.99
21.56,228.0,183.79,44.21,42.67
21.58,211.0,183.85,27.15,41.35
