# ============================================================
# FTIR (ATR, 4000-400 cm-1) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - Gaussian/Lorentzian absorbance bands -> transmittance
#   - bands: 3396 nu(O-H), 1628 delta(H-O-H), 1045 surface Fe-OH,
#   -        571 + 441 nu(Fe-O) spinel lattice modes
#   - 2341 cm-1 band is a DELIBERATE atmospheric CO2 artefact
#   - no C-H / C=O bands: design assumes NO capping agent
#   - curved baseline drift + wavenumber-dependent detector noise
# ============================================================
wavenumber_cm-1,transmittance_percent,absorbance
4000.0,90.9335,0.041276
3999.0,90.9168,0.041356
3998.0,90.4632,0.043528
3997.0,91.0335,0.040799
3996.0,90.8347,0.041748
3995.0,90.6053,0.042847
3994.0,90.5438,0.043141
3993.0,90.4165,0.043752
3992.0,90.9167,0.041356
3991.0,89.751,0.046961
3990.0,90.3058,0.044284
3989.0,90.7027,0.04238
3988.0,90.2843,0.044388
3987.0,91.1304,0.040337
3986.0,91.1571,0.040209
3985.0,90.2503,0.044551
3984.0,90.4723,0.043484
3983.0,90.7915,0.041955
3982.0,90.3351,0.044143
3981.0,90.9936,0.040989
3980.0,90.5464,0.043129
3979.0,90.3479,0.044082
3978.0,90.8518,0.041667
3977.0,90.8932,0.041469
3976.0,90.9429,0.041231
3975.0,90.3981,0.043841
3974.0,90.2159,0.044717
3973.0,90.3345,0.044146
3972.0,90.5258,0.043228
3971.0,90.7708,0.042054
3970.0,90.7908,0.041958
3969.0,90.6115,0.042817
3968.0,89.7185,0.047118
3967.0,90.5657,0.043036
3966.0,90.3502,0.044071
3965.0,90.1935,0.044825
3964.0,90.6631,0.042569
3963.0,90.5403,0.043158
3962.0,90.6398,0.042681
3961.0,90.8961,0.041455
3960.0,90.181,0.044885
3959.0,90.8283,0.041779
3958.0,90.4592,0.043547
3957.0,90.3099,0.044265
3956.0,90.792,0.041952
3955.0,90.619,0.042781
3954.0,90.8198,0.04182
3953.0,90.4172,0.043749
3952.0,90.7108,0.042341
3951.0,90.2263,0.044667
3950.0,90.2539,0.044534
3949.0,90.9427,0.041232
3948.0,90.4582,0.043552
3947.0,89.9903,0.045804
3946.0,89.5192,0.048084
3945.0,90.2529,0.044539
3944.0,90.2534,0.044537
3943.0,90.1167,0.045195
3942.0,90.2988,0.044318
3941.0,90.0219,0.045652
3940.0,90.1172,0.045192
3939.0,90.514,0.043284
3938.0,90.0109,0.045705
3937.0,90.1972,0.044807
3936.0,90.1781,0.044899
3935.0,90.0885,0.045331
3934.0,90.4871,0.043414
3933.0,90.2426,0.044588
3932.0,89.9292,0.046099
3931.0,89.9646,0.045928
3930.0,90.4422,0.043629
3929.0,90.3092,0.044268
3928.0,89.6706,0.04735
3927.0,90.7296,0.042251
3926.0,89.3903,0.04871
3925.0,89.9392,0.046051
3924.0,90.107,0.045241
3923.0,90.0161,0.04568
3922.0,89.8874,0.046301
3921.0,89.752,0.046956
3920.0,89.7721,0.046859
3919.0,89.8471,0.046496
3918.0,89.8135,0.046658
3917.0,89.8187,0.046633
3916.0,89.9459,0.046019
3915.0,89.4716,0.048315
3914.0,89.8507,0.046478
3913.0,90.0184,0.045669
3912.0,89.7098,0.04716
3911.0,90.5617,0.043055
3910.0,89.6779,0.047315
3909.0,90.0487,0.045522
3908.0,90.4555,0.043565
3907.0,90.0773,0.045385
3906.0,89.9408,0.046043
3905.0,89.5956,0.047713
3904.0,89.3468,0.048921
3903.0,88.8987,0.051105
3902.0,89.5642,0.047865
3901.0,89.7963,0.046741
3900.0,89.7749,0.046845
3899.0,89.0598,0.050318
3898.0,89.7032,0.047192
3897.0,89.4659,0.048343
3896.0,89.2959,0.049169
3895.0,89.8522,0.046471
3894.0,89.3912,0.048705
3893.0,90.0049,0.045734
3892.0,89.4175,0.048578
3891.0,89.3915,0.048704
3890.0,88.9598,0.050806
3889.0,89.1525,0.049867
3888.0,89.2888,0.049203
3887.0,88.2285,0.054391
3886.0,89.1274,0.049989
3885.0,88.8175,0.051502
3884.0,88.2876,0.0541
3883.0,88.7488,0.051838
3882.0,89.1666,0.049798
3881.0,88.876,0.051215
3880.0,88.7352,0.051904
3879.0,89.0079,0.050571
3878.0,89.6244,0.047574
3877.0,89.2357,0.049461
3876.0,88.7095,0.05203
3875.0,88.3741,0.053675
3874.0,88.1683,0.054688
3873.0,89.1171,0.050039
3872.0,89.1512,0.049873
3871.0,89.856,0.046453
3870.0,88.8367,0.051407
3869.0,89.1052,0.050097
3868.0,88.1937,0.054563
3867.0,88.826,0.05146
3866.0,88.7475,0.051844
3865.0,88.455,0.053278
3864.0,88.5756,0.052686
3863.0,88.0772,0.055136
3862.0,88.4417,0.053343
3861.0,88.4383,0.05336
3860.0,88.7603,0.051781
3859.0,88.4313,0.053394
3858.0,88.1754,0.054653
3857.0,88.0396,0.055322
3856.0,87.9941,0.055546
3855.0,88.8367,0.051408
3854.0,88.2203,0.054431
3853.0,88.0293,0.055373
3852.0,88.3987,0.053554
3851.0,87.9749,0.055641
3850.0,88.0071,0.055483
3849.0,87.5481,0.057753
3848.0,87.7828,0.056591
3847.0,87.5089,0.057948
3846.0,87.6317,0.057339
3845.0,88.4514,0.053295
3844.0,87.9679,0.055676
3843.0,87.7672,0.056668
3842.0,88.1148,0.054951
3841.0,88.4652,0.053228
3840.0,87.2475,0.059247
3839.0,87.9542,0.055744
3838.0,87.8629,0.056194
3837.0,87.6249,0.057373
3836.0,87.1088,0.059938
3835.0,87.5619,0.057685
3834.0,87.4837,0.058073
3833.0,87.2959,0.059006
3832.0,87.5312,0.057837
3831.0,87.5322,0.057832
3830.0,86.5521,0.062722
3829.0,87.3499,0.058737
3828.0,87.1766,0.0596
3827.0,86.8626,0.061167
3826.0,87.2451,0.059259
3825.0,86.7278,0.061842
3824.0,87.1721,0.059623
3823.0,86.5219,0.062874
3822.0,86.5287,0.06284
3821.0,86.3069,0.063954
3820.0,87.159,0.059688
3819.0,87.0656,0.060153
3818.0,86.6936,0.062013
3817.0,86.5089,0.062939
3816.0,86.3008,0.063985
3815.0,85.8719,0.066149
3814.0,86.0328,0.065336
3813.0,85.5869,0.067593
3812.0,85.7517,0.066757
3811.0,85.4097,0.068493
3810.0,85.483,0.06812
3809.0,86.3672,0.063651
3808.0,85.7507,0.066763
3807.0,86.0131,0.065435
3806.0,85.5689,0.067684
3805.0,85.6548,0.067248
3804.0,85.0513,0.070319
3803.0,85.6986,0.067026
3802.0,85.1646,0.069741
3801.0,85.0954,0.070094
3800.0,85.1697,0.069715
3799.0,84.8585,0.071305
3798.0,85.0784,0.070181
3797.0,85.3389,0.068853
3796.0,84.9952,0.070605
3795.0,85.1555,0.069788
3794.0,84.7889,0.071661
3793.0,84.8333,0.071434
3792.0,85.3963,0.068561
3791.0,83.9976,0.075733
3790.0,84.3618,0.073854
3789.0,84.8185,0.071509
3788.0,84.3713,0.073805
3787.0,84.5432,0.072921
3786.0,83.9712,0.07587
3785.0,83.7264,0.077137
3784.0,84.2696,0.074329
3783.0,83.8888,0.076296
3782.0,84.3168,0.074086
3781.0,83.2651,0.079537
3780.0,83.6391,0.077591
3779.0,83.6167,0.077707
3778.0,82.7808,0.08207
3777.0,83.2335,0.079702
3776.0,82.7285,0.082345
3775.0,83.1757,0.080003
3774.0,83.25,0.079616
3773.0,83.2115,0.079817
3772.0,83.7354,0.077091
3771.0,83.0447,0.080688
3770.0,83.0717,0.080547
3769.0,82.5124,0.083481
3768.0,82.4261,0.083935
3767.0,82.9631,0.081115
3766.0,82.0782,0.085772
3765.0,81.8249,0.087114
3764.0,81.7512,0.087506
3763.0,81.8896,0.086771
3762.0,81.5961,0.088331
3761.0,81.3458,0.089665
3760.0,81.888,0.08678
3759.0,81.5431,0.088613
3758.0,81.4137,0.089302
3757.0,81.8647,0.086904
3756.0,81.2698,0.090071
3755.0,81.2025,0.090431
3754.0,81.7663,0.087425
3753.0,81.1505,0.090709
3752.0,80.6116,0.093603
3751.0,81.0896,0.091035
3750.0,81.1408,0.090761
3749.0,80.455,0.094447
3748.0,80.6719,0.093278
3747.0,80.3919,0.094788
3746.0,80.9563,0.091749
3745.0,80.236,0.095631
3744.0,79.9092,0.097403
3743.0,79.5414,0.099407
3742.0,79.9916,0.096956
3741.0,79.5075,0.099592
3740.0,78.937,0.102719
3739.0,79.4289,0.100022
3738.0,79.6004,0.099085
3737.0,79.165,0.101467
3736.0,79.0462,0.102119
3735.0,79.0048,0.102346
3734.0,78.1448,0.1071
3733.0,78.688,0.104092
3732.0,79.1475,0.101563
3731.0,78.7531,0.103732
3730.0,78.433,0.105501
3729.0,78.5137,0.105055
3728.0,78.8049,0.103447
3727.0,77.9215,0.108342
3726.0,78.1733,0.106941
3725.0,77.701,0.109573
3724.0,77.8067,0.108983
3723.0,77.5159,0.110609
3722.0,77.2977,0.111833
3721.0,77.0861,0.113024
3720.0,76.7569,0.114883
3719.0,76.8493,0.11436
3718.0,76.893,0.114113
3717.0,76.9584,0.113744
3716.0,77.0389,0.11329
3715.0,76.1961,0.118068
3714.0,76.5776,0.115898
3713.0,76.2816,0.11758
3712.0,76.2486,0.117768
3711.0,76.4313,0.116729
3710.0,75.825,0.120187
3709.0,75.9291,0.119592
3708.0,75.6738,0.121054
3707.0,75.5693,0.121654
3706.0,75.9924,0.11923
3705.0,75.7885,0.120397
3704.0,74.3758,0.128569
3703.0,74.8196,0.125985
3702.0,74.6044,0.127236
3701.0,74.7315,0.126496
3700.0,74.4437,0.128172
3699.0,74.6443,0.127003
3698.0,75.054,0.124626
3697.0,74.5005,0.127841
3696.0,74.1337,0.129984
3695.0,74.1754,0.12974
3694.0,73.3748,0.134453
3693.0,73.4959,0.133737
3692.0,73.0785,0.136211
3691.0,73.3621,0.134528
3690.0,73.0734,0.136241
3689.0,72.7724,0.138033
3688.0,73.0883,0.136152
3687.0,72.8708,0.137446
3686.0,72.8239,0.137726
3685.0,72.6293,0.138888
3684.0,71.992,0.142716
3683.0,71.7893,0.14394
3682.0,71.7424,0.144224
3681.0,71.9214,0.143142
3680.0,71.5639,0.145306
3679.0,71.3397,0.146668
3678.0,70.9526,0.149031
3677.0,71.3776,0.146438
3676.0,71.228,0.147349
3675.0,70.8972,0.149371
3674.0,70.3698,0.152613
3673.0,70.3061,0.153007
