# ============================================================
# SEM-derived particle measurements (NO micrograph fabricated) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - lognormal equivalent diameter: median = 18.5 nm, GSD = 1.28
#   - n = 84 features
#   - aspect ratio and circularity weakly correlated with size
#   - represents post-segmentation output, e.g. from ImageJ/Fiji
# ============================================================
particle_id,equivalent_diameter_nm,aspect_ratio,circularity
P001,18.34,1.104,0.935
P002,27.74,1.183,0.914
P003,21.71,1.121,0.945
P004,27.33,1.151,0.874
P005,17.82,1.055,0.958
P006,23.39,1.088,0.871
P007,16.08,1.0,0.99
P008,24.69,1.108,0.923
P009,22.24,1.206,0.915
P010,18.81,1.032,0.959
P011,20.06,1.117,0.915
P012,20.17,1.078,0.942
P013,23.24,1.21,0.887
P014,19.93,1.057,0.946
P015,18.46,1.003,0.912
P016,10.72,1.0,0.99
P017,16.24,1.132,0.977
P018,20.92,1.152,0.906
P019,17.61,1.045,0.896
P020,20.93,1.063,0.92
P021,26.9,1.181,0.932
P022,24.1,1.126,0.937
P023,15.43,1.0,0.979
P024,14.99,1.172,0.99
P025,20.51,1.122,0.884
P026,13.84,1.042,0.988
P027,13.49,1.0,0.99
P028,18.67,1.145,0.914
P029,18.16,1.086,0.94
P030,15.2,1.182,0.936
P031,16.45,1.167,0.978
P032,20.99,1.108,0.902
P033,16.81,1.014,0.952
P034,16.64,1.022,0.935
P035,17.48,1.0,0.953
P036,18.22,1.049,0.902
P037,21.42,1.149,0.901
P038,19.44,1.114,0.911
P039,18.5,1.153,0.899
P040,13.78,1.03,0.986
P041,20.73,1.107,0.933
P042,13.72,1.165,0.99
P043,20.47,1.141,0.921
P044,23.69,1.087,0.98
P045,26.52,1.181,0.896
P046,22.98,1.197,0.875
P047,31.53,1.285,0.89
P048,20.48,1.121,0.93
P049,21.85,1.124,0.946
P050,18.6,1.022,0.94
P051,11.41,1.0,0.962
P052,20.62,1.102,0.884
P053,17.51,1.084,0.962
P054,22.88,1.127,0.969
P055,10.73,1.0,0.99
P056,19.12,1.052,0.897
P057,12.83,1.016,0.977
P058,14.17,1.08,0.976
P059,20.63,1.03,0.906
P060,30.35,1.191,0.866
P061,19.23,1.035,0.896
P062,14.92,1.034,0.943
P063,15.95,1.081,0.972
P064,13.45,1.0,0.973
P065,21.68,1.07,0.909
P066,20.61,1.083,0.931
P067,18.07,1.042,0.965
P068,25.67,1.227,0.873
P069,19.66,1.086,0.922
P070,21.95,1.175,0.929
P071,16.24,1.0,0.879
P072,17.82,1.076,0.976
P073,17.75,1.092,0.974
P074,22.56,1.13,0.948
P075,19.11,1.111,0.93
P076,20.15,1.127,0.92
P077,14.31,1.031,0.99
P078,16.37,1.0,0.936
P079,15.37,1.053,0.99
P080,18.47,1.038,0.985
P081,22.39,1.061,0.895
P082,14.68,1.069,0.946
P083,14.5,1.023,0.94
P084,17.6,1.089,0.954
