# ============================================================
# TGA (N2 assumed, 10 C/min, 25-800 C) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - three logistic mass-loss steps at ~78, ~243 and ~522 C
#   - amplitudes 2.60 / 1.70 / 0.60 % of initial mass
#   - NO organic-decomposition step: design assumes no capping agent
#   - INERT atmosphere assumed -> no oxidative mass gain
#   - buoyancy drift + microbalance noise included
# ============================================================
temperature_C,mass_percent,mass_mg
25.0,99.7936,9.81969
25.5,99.7868,9.81902
26.0,99.7875,9.81909
26.5,99.7836,9.8187
27.0,99.7795,9.81831
27.5,99.7696,9.81733
28.0,99.7691,9.81728
28.5,99.7647,9.81685
29.0,99.7554,9.81593
29.5,99.7465,9.81506
30.0,99.7548,9.81588
30.5,99.7407,9.81449
31.0,99.737,9.81412
31.5,99.7393,9.81434
32.0,99.725,9.81294
32.5,99.7168,9.81213
33.0,99.7121,9.81167
33.5,99.7112,9.81158
34.0,99.6983,9.81031
34.5,99.6896,9.80946
35.0,99.6862,9.80912
35.5,99.6847,9.80897
36.0,99.6691,9.80744
36.5,99.6628,9.80682
37.0,99.6614,9.80668
37.5,99.6578,9.80633
38.0,99.6487,9.80544
38.5,99.6383,9.80441
39.0,99.6329,9.80388
39.5,99.6265,9.80325
40.0,99.6246,9.80306
40.5,99.6212,9.80272
41.0,99.6025,9.80089
41.5,99.5905,9.7997
42.0,99.5853,9.7992
42.5,99.5781,9.79848
43.0,99.5644,9.79714
43.5,99.5573,9.79644
44.0,99.5492,9.79564
44.5,99.5448,9.79521
45.0,99.5354,9.79428
45.5,99.5263,9.79339
46.0,99.5216,9.79292
46.5,99.5127,9.79205
47.0,99.498,9.79061
47.5,99.4847,9.78929
48.0,99.4728,9.78813
48.5,99.4705,9.7879
49.0,99.4568,9.78655
49.5,99.4471,9.7856
50.0,99.4365,9.78455
50.5,99.4252,9.78344
51.0,99.4105,9.78199
51.5,99.4152,9.78246
52.0,99.3892,9.7799
52.5,99.3855,9.77953
53.0,99.3778,9.77878
53.5,99.3715,9.77816
54.0,99.3578,9.7768
54.5,99.3403,9.77508
55.0,99.3314,9.77421
55.5,99.3163,9.77273
56.0,99.3003,9.77115
56.5,99.2906,9.7702
57.0,99.2831,9.76946
57.5,99.2667,9.76784
58.0,99.2545,9.76664
58.5,99.2444,9.76565
59.0,99.2264,9.76387
59.5,99.211,9.76236
60.0,99.1955,9.76084
60.5,99.1916,9.76046
61.0,99.1717,9.75849
61.5,99.159,9.75724
62.0,99.1348,9.75487
62.5,99.1314,9.75453
63.0,99.1228,9.75368
63.5,99.1111,9.75254
64.0,99.0919,9.75064
64.5,99.0744,9.74892
65.0,99.0653,9.74803
65.5,99.043,9.74583
66.0,99.0254,9.7441
66.5,99.0161,9.74319
67.0,99.0103,9.74261
67.5,98.9882,9.74044
