# ============================================================
# UV-Vis (aqueous dispersion, 1 cm path) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - O(2p)->Fe(3d) charge-transfer edge (saturating logistic)
#   - Urbach-type exponential sub-edge tail
#   - Rayleigh/Mie turbidity term proportional to lambda^-2.8
#   - weak ligand-field feature near 640 nm
#   - NOT designed to contain a well-defined optical band gap
# ============================================================
wavelength_nm,absorbance
200.0,3.59078
201.0,3.57772
202.0,3.55556
203.0,3.54603
204.0,3.53415
205.0,3.51994
206.0,3.50499
207.0,3.49362
208.0,3.4816
209.0,3.4689
210.0,3.45889
211.0,3.44552
212.0,3.43094
213.0,3.42463
214.0,3.41043
215.0,3.39634
216.0,3.38782
217.0,3.37595
218.0,3.36836
219.0,3.35246
220.0,3.34237
221.0,3.33373
222.0,3.32552
223.0,3.31146
224.0,3.30076
225.0,3.29347
226.0,3.28093
227.0,3.27307
228.0,3.26709
229.0,3.25557
230.0,3.24557
231.0,3.23684
232.0,3.22649
233.0,3.21493
234.0,3.205
235.0,3.19472
236.0,3.1905
237.0,3.18111
238.0,3.17326
239.0,3.16287
240.0,3.15885
241.0,3.14235
242.0,3.13741
243.0,3.12749
244.0,3.12067
245.0,3.10846
246.0,3.09971
247.0,3.1003
248.0,3.08688
249.0,3.07726
250.0,3.06678
251.0,3.06126
252.0,3.04982
253.0,3.04569
254.0,3.03387
255.0,3.02768
256.0,3.01142
257.0,3.00318
258.0,2.99708
259.0,2.99203
260.0,2.98248
261.0,2.97299
262.0,2.96504
263.0,2.95618
264.0,2.94397
265.0,2.93726
266.0,2.92768
267.0,2.92245
268.0,2.91001
269.0,2.90383
270.0,2.89367
271.0,2.88455
272.0,2.87302
273.0,2.86405
