# ============================================================
# XRD (Cu K-alpha1, 1.54060 A) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - pseudo-Voigt Bragg peaks of cubic Fe3O4 (a = 8.396 A, Fd-3m)
#   - crystallite size D = 12.0 nm (Scherrer broadening)
#   - uniform microstrain eps = 8.0e-04
#   - Gaussian instrumental FWHM = 0.08 deg (quadrature)
#   - Lorentz-polarisation weighting; decaying Fe-fluorescence background
#   - Poisson counting noise
# ============================================================
two_theta_deg,intensity_counts
20.0,190.0
20.02,219.0
20.04,254.0
20.06,234.0
20.08,245.0
20.1,207.0
20.12,247.0
20.14,223.0
20.16,233.0
20.18,212.0
20.2,220.0
20.22,221.0
20.24,202.0
20.26,213.0
20.28,202.0
20.3,223.0
20.32,194.0
20.34,221.0
20.36,206.0
20.38,227.0
20.4,220.0
20.42,241.0
20.44,240.0
20.46,261.0
20.48,247.0
20.5,221.0
20.52,216.0
20.54,228.0
20.56,209.0
20.58,239.0
20.6,225.0
20.62,214.0
20.64,213.0
20.66,227.0
20.68,225.0
20.7,241.0
20.72,229.0
20.74,223.0
20.76,228.0
20.78,217.0
20.8,218.0
20.82,227.0
20.84,238.0
20.86,228.0
20.88,231.0
20.9,245.0
20.92,231.0
20.94,199.0
20.96,210.0
20.98,216.0
21.0,216.0
21.02,208.0
21.04,203.0
21.06,217.0
21.08,252.0
21.1,230.0
21.12,217.0
21.14,220.0
21.16,220.0
21.18,236.0
21.2,233.0
21.22,192.0
21.24,234.0
21.26,229.0
21.28,198.0
21.3,213.0
21.32,243.0
21.34,220.0
21.36,234.0
21.38,212.0
21.4,226.0
21.42,241.0
21.44,246.0
21.46,277.0
21.48,224.0
21.5,229.0
21.52,213.0
21.54,212.0
21.56,228.0
21.58,211.0
21.6,234.0
21.62,226.0
21.64,227.0
21.66,214.0
21.68,220.0
21.7,200.0
21.72,221.0
21.74,224.0
21.76,206.0
21.78,211.0
21.8,210.0
21.82,222.0
21.84,245.0
21.86,220.0
21.88,249.0
21.9,215.0
21.92,233.0
21.94,240.0
21.96,233.0
21.98,195.0
22.0,206.0
22.02,207.0
22.04,238.0
22.06,213.0
22.08,228.0
22.1,209.0
22.12,250.0
22.14,235.0
22.16,201.0
22.18,239.0
22.2,220.0
22.22,237.0
22.24,247.0
22.26,226.0
22.28,232.0
22.3,254.0
22.32,223.0
22.34,208.0
22.36,208.0
22.38,216.0
22.4,222.0
22.42,217.0
22.44,194.0
22.46,229.0
22.48,211.0
22.5,226.0
22.52,202.0
22.54,211.0
22.56,234.0
22.58,232.0
22.6,245.0
22.62,218.0
22.64,201.0
22.66,215.0
22.68,219.0
22.7,251.0
22.72,202.0
22.74,229.0
22.76,218.0
22.78,255.0
22.8,225.0
22.82,202.0
22.84,217.0
22.86,236.0
22.88,228.0
22.9,215.0
22.92,242.0
22.94,231.0
22.96,218.0
22.98,223.0
23.0,231.0
23.02,218.0
23.04,230.0
23.06,239.0
23.08,227.0
23.1,210.0
23.12,219.0
23.14,223.0
23.16,237.0
23.18,220.0
23.2,220.0
23.22,175.0
23.24,208.0
23.26,226.0
23.28,239.0
23.3,241.0
23.32,229.0
23.34,224.0
23.36,234.0
23.38,221.0
23.4,225.0
23.42,202.0
23.44,207.0
23.46,201.0
23.48,228.0
23.5,250.0
23.52,222.0
23.54,203.0
23.56,211.0
23.58,203.0
23.6,208.0
23.62,195.0
23.64,227.0
23.66,221.0
23.68,196.0
23.7,219.0
23.72,251.0
23.74,242.0
23.76,218.0
23.78,213.0
23.8,236.0
23.82,210.0
23.84,224.0
23.86,211.0
23.88,187.0
